,Activation,Channels,Loss,Mae,Mse
168,relu,"[0, 3, 4, 8, 13, 15, 17, 18, 19, 21, 22, 23]",22230.388671875,125.65899658203125,22230.388671875
169,relu,"[0, 1, 2, 4, 5, 7, 8, 13, 16, 19, 21, 23]",20790.8671875,120.3429946899414,20790.8671875
170,relu,"[0, 1, 2, 4, 6, 7, 9, 10, 14, 18, 19, 22]",20744.505859375,116.73033905029297,20744.505859375
171,relu,"[0, 1, 4, 6, 8, 15, 16, 19, 20, 21, 22, 23]",23211.86328125,124.37166595458984,23211.86328125
172,relu,"[1, 2, 3, 9, 10, 11, 12, 13, 16, 17, 20, 21]",19988.919921875,114.5023422241211,19988.919921875
173,relu,"[2, 5, 7, 11, 12, 15, 17, 18, 19, 20, 22, 23]",21921.58203125,121.39700317382812,21921.58203125
174,relu,"[0, 1, 4, 6, 8, 9, 13, 14, 17, 18, 19, 21]",20503.890625,116.46033477783203,20503.890625
175,relu,"[1, 2, 3, 5, 7, 9, 10, 11, 14, 18, 19, 23]",16835.505859375,100.1836166381836,16835.505859375
176,relu,"[1, 2, 3, 5, 6, 7, 8, 12, 15, 17, 20, 22]",21258.982421875,114.5356674194336,21258.986328125
177,relu,"[1, 3, 4, 5, 9, 10, 13, 14, 16, 19, 21, 23]",21456.142578125,124.13899993896484,21456.142578125
178,relu,"[3, 4, 6, 8, 11, 12, 13, 14, 15, 16, 17, 23]",22021.1796875,122.29634094238281,22021.1796875
179,relu,"[1, 3, 4, 6, 7, 8, 9, 11, 15, 17, 20, 23]",18984.287109375,111.6943359375,18984.28515625
180,relu,"[0, 1, 6, 8, 9, 11, 12, 13, 14, 15, 20, 21]",20836.142578125,117.47632598876953,20836.142578125
181,relu,"[4, 6, 7, 8, 9, 11, 15, 16, 17, 18, 22, 23]",21312.244140625,118.64167022705078,21312.244140625
182,relu,"[0, 3, 5, 6, 7, 8, 9, 10, 12, 19, 21, 22]",22190.970703125,121.8443374633789,22190.970703125
183,relu,"[4, 5, 7, 8, 9, 12, 14, 16, 18, 19, 21, 22]",13395.2587890625,86.65794372558594,13395.2587890625
184,relu,"[0, 1, 4, 5, 6, 8, 9, 11, 12, 13, 14, 22]",21561.07421875,121.62632751464844,21561.07421875
185,relu,"[0, 1, 2, 4, 5, 7, 8, 10, 11, 13, 15, 21]",16699.70703125,107.4595718383789,16699.70703125
186,relu,"[1, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20]",17091.0859375,100.29027557373047,17091.083984375
187,relu,"[1, 5, 6, 8, 9, 10, 13, 15, 16, 18, 21, 22]",19041.095703125,110.07233428955078,19041.095703125
188,relu,"[0, 2, 3, 4, 5, 6, 8, 9, 13, 14, 19, 23]",20873.2890625,118.36567687988281,20873.2890625
189,relu,"[1, 2, 4, 6, 11, 12, 13, 14, 15, 16, 20, 21]",11436.4560546875,77.74888610839844,11436.4560546875
190,relu,"[0, 1, 4, 6, 8, 10, 11, 12, 13, 17, 18, 23]",23597.400390625,127.47833251953125,23597.400390625
191,relu,"[1, 2, 3, 6, 7, 12, 14, 18, 19, 20, 21, 22]",19332.470703125,114.53299713134766,19332.470703125
192,relu,"[2, 3, 7, 8, 9, 10, 11, 14, 15, 18, 20, 22]",23560.482421875,128.5989990234375,23560.482421875
193,relu,"[0, 1, 3, 5, 8, 9, 14, 16, 17, 18, 21, 22]",20993.037109375,118.08566284179688,20993.037109375
194,relu,"[0, 2, 4, 5, 6, 7, 14, 15, 19, 20, 21, 22]",18150.638671875,109.04832458496094,18150.638671875
195,relu,"[0, 5, 7, 9, 10, 13, 14, 16, 17, 19, 20, 23]",22135.7265625,119.82366180419922,22135.7265625
196,relu,"[3, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 20]",19833.005859375,114.96766662597656,19833.005859375
197,relu,"[1, 2, 4, 5, 6, 11, 12, 14, 15, 16, 19, 21]",22045.0625,119.78166961669922,22045.0625
198,relu,"[0, 3, 5, 6, 7, 9, 11, 13, 15, 19, 22, 23]",24319.5859375,129.35098266601562,24319.5859375
199,relu,"[5, 7, 8, 10, 11, 12, 15, 17, 18, 20, 21, 23]",23240.013671875,124.45833587646484,23240.013671875
