,Activation,Channels,Loss,Mae,Mse
140,relu,[10 22 16  9 14 20 17 18  3],137.08444213867188,137.08444213867188,5.133514881134033
141,relu,[ 1 22  9 20  0 18 13 15  2],84.17841339111328,84.17841339111328,3.1298458576202393
142,relu,[ 8 16  2 18  1 20 10 17 19],119.7281494140625,119.7281494140625,2.3903398513793945
143,relu,[ 7 11 17 13  6 22 18  1 23],107.75665283203125,107.75665283203125,3.4396276473999023
144,relu,[12  7 13  3 22 20 21  5  2],104.281982421875,104.281982421875,2.631560802459717
145,relu,[23 13  7  5  4  0  3 15  6],146.8577117919922,146.8577117919922,4.461651802062988
146,relu,[23  0 16  4  5 11 17 20  9],158.95928955078125,158.95928955078125,4.192167282104492
147,relu,[17 18  3 13  1  4  2 22  9],117.56940460205078,117.56940460205078,3.9918150901794434
148,relu,[17 14  9 15  5  7  1 20 22],145.6687774658203,145.6687774658203,4.1347784996032715
149,relu,[ 3 21 17  8  1 20  7 22  0],113.2413558959961,113.2413558959961,3.966933488845825
150,relu,[ 6  8 16  9 23 13 14 15 22  7 21  4],119.79232025146484,119.79232025146484,3.118683338165283
151,relu,[10  8  9 11  7 12  0 14  4 16 19 17],153.64483642578125,153.64483642578125,3.712482452392578
152,relu,[14 17 18 23  4  0 12  6  1  9 22 20],108.05152893066406,108.05152893066406,4.122785568237305
153,relu,[22 19  0 11  5  4 15 14 16  3  2 10],154.86158752441406,154.86158752441406,4.291667938232422
154,relu,[ 7  0  2 21 12 11 15 13  1 10  9 18],106.61211395263672,106.61210632324219,3.2388548851013184
155,relu,[ 0 13  9 12  1  7 20 15 18 11 16 23],79.96437072753906,79.96437072753906,3.2806806564331055
156,relu,[10 17 11 19  1 12 21  9 20  7 16  3],115.55728149414062,115.55728149414062,3.853034257888794
157,relu,[19 23 13 21  6 18  7 11  1 10  4  2],106.93609619140625,106.93609619140625,3.207188129425049
158,relu,[ 7 23  2  3  4 12  0  5 13 15 22 14],134.3564453125,134.35646057128906,3.230140447616577
159,relu,[14  3 21 12 10 22  1 13 23  6 16 18],110.88510131835938,110.88510131835938,2.7328081130981445
160,relu,[20  3  7  4 15 10 12  9 21  5  0  1],122.38591003417969,122.38591003417969,3.542093515396118
161,relu,[ 0  2  8  4  6 22  5 11 13 15 14 18],127.422607421875,127.422607421875,2.413006544113159
162,relu,[ 7 21 18  2 23 11  5  1 12  9 14 22],100.25656127929688,100.25655364990234,1.946889877319336
163,relu,[11 13 12 21  2 16  8 22 19 15 18  0],98.2769775390625,98.2769775390625,1.9847464561462402
164,relu,[ 3 14  5  0 15 19 18  9 12 20 23  6],104.1630630493164,104.1630630493164,4.190404415130615
165,relu,[ 3 16  4  0  2  6  8 12  5 21 17 22],177.77334594726562,177.77334594726562,4.613100051879883
166,relu,[14  7  6  8  9 11  5  0  1 13 10 16],124.22077941894531,124.22077941894531,3.4707226753234863
167,relu,[ 5 19  3 14  0  1 16 18 15 21 22  9],135.96934509277344,135.96932983398438,3.564546823501587
168,relu,[21  0 18 13 23 19 22 17  4 15  8  3],115.67145538330078,115.67145538330078,3.0729072093963623
169,relu,[16  8  7  4 21 23  1  5 13  2  0 19],119.37744903564453,119.37744903564453,2.3321053981781006
170,relu,[ 1 22  9  6 14  7  2  0 19 10 18  4],113.1773452758789,113.1773452758789,3.656797170639038
171,relu,[ 6 16  8 20 21 19  4  1 15 23 22  0],122.08875274658203,122.08873748779297,2.890773057937622
172,relu,[12 13 20 10 21  3  2  9  1 16 17 11],169.88880920410156,169.88880920410156,2.8052549362182617
173,relu,[22  5 17 18 11 15 20  7 23 12 19  2],116.76980590820312,116.76980590820312,3.256199598312378
174,relu,[ 8 18 14  6 17  4 21 19  9  1 13  0],96.11903381347656,96.11903381347656,2.4244351387023926
175,relu,[11  5  2 18  9 19 10 14 23  3  1  7],151.68858337402344,151.68858337402344,2.4723622798919678
176,relu,[22  8 20 12  3  1  6 17  2  5 15  7],210.3271026611328,210.3271026611328,4.808606147766113
177,relu,[23  5  1  3 16 19  9 14 13 10 21  4],115.80697631835938,115.80697631835938,2.8311095237731934
178,relu,[16  3 11  6 12 23 15 14  8  4 17 13],162.065185546875,162.065185546875,5.12075662612915
179,relu,[20 17  6  9  7  1 23  3 15  8 11  4],297.9004211425781,297.9004211425781,5.017416477203369
180,relu,[15  1 14 11 21  9  6  0  8 12 20 13],102.5549087524414,102.5549087524414,2.681863307952881
181,relu,[18 11  6 22  7  9  4 17  8 16 23 15],286.7757873535156,286.7757873535156,6.238250255584717
182,relu,[ 6  3  7 12 10  5 22  8  9  0 21 19],111.08193969726562,111.08193969726562,3.278721809387207
183,relu,[16  5  7  8  4 14 19 18 22  9 21 12],110.17598724365234,110.17598724365234,3.3194072246551514
184,relu,[12  8  9 22 14 13  0  1  6  5 11  4],133.5909881591797,133.59097290039062,3.8556039333343506
185,relu,[10 15 13  8  0  1  5 21  7 11  4  2],180.63516235351562,180.63516235351562,4.275423049926758
186,relu,[18 20  1 15 11 10 16 13 17  9  8 19],134.71841430664062,134.71841430664062,4.376163005828857
187,relu,[22  5  8  9 18 10 21 15 13  1 16  6],105.75316619873047,105.75316619873047,2.5649609565734863
188,relu,[13 19 23 14  8  5  3  4  9  0  2  6],122.77735900878906,122.77735900878906,3.9777090549468994
189,relu,[ 6  4 12 21 15 13 14 11 20  1 16  2],109.25143432617188,109.25143432617188,2.9525461196899414
190,relu,[ 6 23  1  4 13 11  8 18 17 10  0 12],124.86022186279297,124.86022186279297,4.675973892211914
